"PCRID" "SampleID" "Size fraction (mm)" "Sample" "Notes" "Locality" "Route" "Lat" "Long" "LandUseType" "Date" "TimeStart" "TimeEnd" "Wind (m/s)" "Temperature (celsius)" "SamplingNotes"
"24" "IM17_44" "P80.1A" "> 10" "Car net" "Cabbage butterfly that lost scales and abdomen in the extraction process, wasp" NA NA NA NA NA NA NA NA NA NA NA
"25" "IM17_45" "P80.1A" "< 10" "Car net" NA NA NA NA NA NA NA NA NA NA NA NA
"26" "IM17_46" "P112.1B" "<10" "Car net" NA NA NA NA NA NA NA NA NA NA NA NA
"27" "IM17_47" "ExBlank_03102018" NA "ExBlank" NA NA NA NA NA NA NA NA NA NA NA NA
"28" "IM17_58" "SØ_skov2_17_20" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/oK8oN1b78yo  " 55.421023 11.600166 "Skov" 2018-06-18 19:31:00 19:50:00 "6" "18" "Rain for 5 min 2/3 through route 2"
"29" "IM17_59" "SØ_skov1_12_15" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/oK8oN1b78yo  " 55.421023 11.600166 "Skov" 2018-06-18 14:45:00 15:00:00 "3" "20" "Drove on Næstvedvej instead, 1 km longer route in total"
"30" "IM17_60" "SØ_skov1_12_15" ">10" "Car net" "1 diptera" "Sorø" "https://goo.gl/maps/oK8oN1b78yo  " 55.421023 11.600166 "Skov" 2018-06-18 14:45:00 15:00:00 "3" "20" "Drove on Næstvedvej instead, 1 km longer route in total"
"31" "IM17_61" "SØ_mark1_12_15" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/wo2iMveT9m22" 55.493181 11.619529 "Mark" 2018-06-18 13:18:00 13:35:00 "6" "20" "Drove too far to to Nyrupvej 56 and turned around to get to Gyrstingevej"
"32" "IM17_62" "SØ_mark1_12_15" ">10" "Car net" "1 Pieris rapae or Gonepteryx rhamni, 1 syrphidae, 1 staphylinidae" "Sorø" "https://goo.gl/maps/wo2iMveT9m22" 55.493181 11.619529 "Mark" 2018-06-18 13:18:00 13:35:00 "6" "20" "Drove too far to to Nyrupvej 56 and turned around to get to Gyrstingevej"
"33" "IM17_63" "SØ_mark2_17_20" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/wo2iMveT9m22" 55.493181 11.619529 "Mark" 2018-06-18 17:55:00 18:15:00 "6" "19" "Wind up to 10 m/s"
"34" "IM17_64" "SØ_mark2_17_20" ">10" "Car net" "1 Bombus or Andrena" "Sorø" "https://goo.gl/maps/wo2iMveT9m22" 55.493181 11.619529 "Mark" 2018-06-18 17:55:00 18:15:00 "6" "19" "Wind up to 10 m/s"
"35" "IM17_65" "GS_skov_17_20" "<10" "Car net" NA "Gribskov" "https://goo.gl/maps/GnyX452mGcS2" 56.018051 12.292131 "Skov" 2018-06-19 17:43:00 18:04:00 "8" "20" NA
"36" "IM17_66" "GS_skov_17_20" ">10" "Car net" "1 Bombus" "Gribskov" "https://goo.gl/maps/GnyX452mGcS2" 56.018051 12.292131 "Skov" 2018-06-19 17:43:00 18:04:00 "8" "20" NA
"37" "IM17_67" "GS_mark_17_20" "<10" "Car net" "1 Coccinellidae" "Gribskov" "https://goo.gl/maps/sJtCpFgpjeC2" 56.016259 12.25725 "Mark" 2018-06-19 19:10:00 19:31:00 "7" "20" "Wind up to 10-15 m/s, stopped and had to fix the net for 4 min. Approximately"
"38" "IM17_68" "GS_mark_17_20" ">10" "Car net" "2 Vespidae" "Gribskov" "https://goo.gl/maps/sJtCpFgpjeC2" 56.016259 12.25725 "Mark" 2018-06-19 19:10:00 19:31:00 "7" "20" "Wind up to 10-15 m/s, stopped and had to fix the net for 4 min. Approximately"
"39" "IM17_69" "GS_skov_12_15" "<10" "Car net" "2 Tabanidae, 1 Odonata (head, abdomen detached), 1 Bombus, 1 fly (Bibionidae?)" "Gribskov" "https://goo.gl/maps/GnyX452mGcS2" 56.018051 12.292131 "Skov" 2018-06-19 14:50:00 15:10:00 "8" "23" NA
"40" "IM17_70" "GS_skov_12_15" ">10" "Car net" NA "Gribskov" "https://goo.gl/maps/GnyX452mGcS2" 56.018051 12.292131 "Skov" 2018-06-19 14:50:00 15:10:00 "8" "23" NA
